dataname	type	hierarchy_level	satellite_order	satellite_of	smallplanet_color	orbit_color	diameter_km	shape	mass_kg	gravity_at_surface	semi_major_axis	orbital_period_days	inclination_degrees	eccentricity	rotaton_period_days	discovered_year	athmospheric_surface_pressure_pa	athmospheric_nitrogen	athmospheric_oxygen	athmospheric_carbondioxide	athmospheric_helium	athmospheric_hydrogen	ground_coal	ground_ice	ground_iron	ground_fossil fuel	ground_silicium	ground_nuclear fuel	picture_ready	notes	copyright
datatype	string	int	int	string	tuple	tuple	int	string	int	float	int	float	float	float	float	int	float	float	float	float	float	float	float	float	float	float	float	float	string	string	string
sun	star	0	NA	NA	255 255 0	50 50 50	1392000	sphere	1989100000000000000000000000000	27.9621801680	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0.07195357	0.369402329	0	0.533142017	0.62581477	NA	NA	NA
mercury	terrestrial	1	1	sun	205 149 12	100 100 100	4873	sphere	358416000000000000000000	0.4111729393	58343176	87.6	3.380	0.206	58.640	NA	0	0	0	0	0	0	0	0.117755849	0.177036788	0	0.925652877	0.821014398	NA	Ok. Chose the one name mercury3 originally	NA
venus	terrestrial	1	2	sun	205 55 0	100 100 100	12105	sphere	4898352000000000000000000	0.9105030974	107710479	226.3	3.860	0.007	243.020	NA	9300000	325500	0	8974500	111.6	0	0	0.09543091	0.056329162	0	0.712742852	0.622169741	ok	Ok. Chose the one named venus2 originally.	NA
earth	terrestrial	1	3	sun	69 139 0	100 100 100	12756	sphere	5973600000000000000000000	1.0000000000	149597888	365	0.000	0.017	1.000	NA	1013000	790950.4	212223.5	384.94	0	0	1	0	1	1	0.735615317	1	ok	Looks very nice	NA
moon	moon	2	2	earth	50 50 50	50 50 50	3476	sphere	73477000000000000000000	0.1656474533	384399	27.32	5.145	0.055	27.320	NA	0	0	0	0	0	0	0	0.155990552	0.841541698	0	0.97397986	0.159135188	ok	Would benefit a lot from shading	NA
mars	terrestrial	1	4	sun	255 36 0	100 100 100	6786	sphere	657096000000000000000000	0.3886596190	227388789	686.2	5.650	0.093	1.030	NA	800	21.6	1.6	765.76	0	0	0	0.001039775	0.929202543	0	0.410430417	0.673085313	NA	Looks very nice	NA
phobos	moon	2	1	mars	50 50 50	50 50 50	22	sphere	10700000000000000	0.0005913856	9377	0.318	1.093	0.015	0.318	1877	0	0	0	0	0	0	0	0.001768497	0.611960811	0	0.543302243	0.090932436	ok	Would benefit a lot from shading	NA
deimos	moon	2	2	mars	50 50 50	50 50 50	12	sphere	1480000000000000	0.0002621870	23460	1.26	0.930	0.000	1.260	1877	0	0	0	0	0	0	0	0.215067448	0.770422486	0	0.860829023	0.250800446	ok	Looks very nice	NA
jupiter	gasplanet	1	5	sun	244 164 96	100 100 100	142982	sphere	1898410080000000000000000000	2.5294153777	777909015	4328.9	6.090	0.048	0.410	NA	1013000	0	0	0	103326	909674	0	0.003727017	0.578154219	0	0.048115361	0.085615764	ok	Would benefit a lot from shading	NA
