dataname	type	hierarchy_level	satellite_order	satellite_of	smallplanet_color	orbit_color	diameter_km	shape	mass_kg	gravity_at_surface	semi_major_axis	orbital_period_days	inclination_degrees	eccentricity	rotaton_period_days	discovered_year	athmospheric_surface_pressure_pa	athmospheric_nitrogen	athmospheric_oxygen	athmospheric_carbondioxide	athmospheric_helium	athmospheric_hydrogen	ground_coal	ground_ice	ground_iron	ground_fossil fuel	ground_silicium	ground_nuclear fuel	picture_ready	notes	copyright
datatype	string	int	int	string	tuple	tuple	int	string	int	float	int	float	float	float	float	int	float	float	float	float	float	float	float	float	float	float	float	float	string	string	string
sun	star	0	NA	NA	255 255 0	50 50 50	1392000	sphere	1989100000000000000000000000000	27.9621801680	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0.066117179	0.976296781	0	0.44011538	0.326592585	NA	NA	NA
mercury	terrestrial	1	1	sun	205 149 12	100 100 100	4873	sphere	358416000000000000000000	0.4111729393	58343176	87.6	3.380	0.206	58.640	NA	0	0	0	0	0	0	0	0.086878104	0.282975989	0	0.784580036	0.470936388	NA	Ok. Chose the one name mercury3 originally	NA
venus	terrestrial	1	2	sun	205 55 0	100 100 100	12105	sphere	4898352000000000000000000	0.9105030974	107710479	226.3	3.860	0.007	243.020	NA	9300000	325500	0	8974500	111.6	0	0	0.109204241	0.908029168	0	0.136837075	0.046208547	ok	Ok. Chose the one named venus2 originally.	NA
earth	terrestrial	1	3	sun	69 139 0	100 100 100	12756	sphere	5973600000000000000000000	1.0000000000	149597888	365	0.000	0.017	1.000	NA	1013000	790950.4	212223.5	384.94	0	0	1	1	1	1	0.320880879	1	ok	Looks very nice	NA
moon	moon	2	2	earth	50 50 50	50 50 50	3476	sphere	73477000000000000000000	0.1656474533	384399	27.32	5.145	0.055	27.320	NA	0	0	0	0	0	0	0	0.10021835	0.606363091	0	0.612563758	0.214498489	ok	Would benefit a lot from shading	NA
International Space Station	space_station	2	1	earth	50 50 50	50 50 50	1	iregular	277595	0.0000000000	6720	0.063194444	51.600	0.000	0.063	1998	0.000	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.298421109	NA	NA	NA
mars	terrestrial	1	4	sun	255 36 0	100 100 100	6786	sphere	657096000000000000000000	0.3886596190	227388789	686.2	5.650	0.093	1.030	NA	800	21.6	1.6	765.76	0	0	0	0.000746559	0.183022523	0	0.778575822	0.745255551	NA	Looks very nice	NA
phobos	moon	2	1	mars	50 50 50	50 50 50	22	sphere	10700000000000000	0.0005913856	9377	0.318	1.093	0.015	0.318	1877	0	0	0	0	0	0	0	0.001282008	0.898774265	0	0.860621507	0.404935044	ok	Would benefit a lot from shading	NA
deimos	moon	2	2	mars	50 50 50	50 50 50	12	sphere	1480000000000000	0.0002621870	23460	1.26	0.930	0.000	1.260	1877	0	0	0	0	0	0	0	0.326528915	0.12348393	0	0.523874994	0.306532368	ok	Looks very nice	NA
